Analyzing 378 Когда тьма со всех сторон (Душа моя так ждет Тебя).pdf...

Char   | Width    | Gap After 
-----------------------------------
'п'      | 7.4974   | -
'[SPACE]' | 3.1730   | -
'н'      | 7.6518   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'т'      | 5.4756   | 0.0281
'[SPACE]' | 3.1730   | -
'у'      | 6.6550   | 0.1128
'[SPACE]' | 3.1730   | -
'п'      | 10.7014   | -
'[SPACE]' | 4.5290   | -
'н'      | 10.9218   | -
'[SPACE]' | 4.5291   | -
'[SPACE]' | 4.5291   | 0.0401
'т'      | 7.8156   | -
'[SPACE]' | 4.5291   | -
'у'      | 9.4990   | -
'[SPACE]' | 4.5291   | -
'Д'      | 9.4489   | -
'у'      | 6.6550   | -
'ш'      | 10.7125   | -
'а'      | 6.9358   | -
'[SPACE]' | 3.1730   | -
'м'      | 10.0105   | -
'о'      | 7.5535   | -
'я'      | 6.9919   | -
'[SPACE]' | 3.1730   | -
'т'      | 5.4756   | 0.0281
'а'      | 6.9358   | -
'к'      | 6.9498   | -
'[SPACE]' | 3.1730   | -
'ж'      | 10.3475   | -
'д'      | 8.1713   | -
'ё'      | 7.0621   | -
'т'      | 5.4756   | 0.0695
'[SPACE]' | 3.1730   | -
'Т'      | 6.9498   | -
'е'      | 7.0621   | -
'б'      | 7.4693   | -
'я'      | 6.9919   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'C'      | 7.4272   | -
'a'      | 6.9358   | -
'p'      | 7.5395   | 0.0421
'o'      | 7.5535   | 0.0180
'[SPACE]' | 3.1730   | -
'3'      | 7.1183   | -
'[SPACE]' | 3.1730   | -
'I'      | 3.7487   | -
'n'      | 7.5395   | -
't'      | 4.8719   | 0.0281
'r'      | 4.9842   | -
'o'      | 7.5535   | -
':'      | 3.8750   | -
'[SPACE]' | 3.1730   | -
'[SPACE]' | 3.1730   | -
'/'      | 5.4194   | -
'/'      | 5.4194   | -
':'      | 3.7627   | -
'E'      | 6.3245   | -
'[SPACE]' | 2.9290   | -
'E'      | 6.3245   | -
's'      | 3.3995   | -
'u'      | 4.5752   | -
's'      | 3.3995   | -
'4'      | 4.3196   | -
'[SPACE]' | 2.9290   | 0.0710
'|'      | 6.1560   | -
'E'      | 6.3245   | 0.0355
'/'      | 5.5728   | -
'G'      | 8.2555   | 0.0245
'#'      | 6.4541   | 0.1459
'[SPACE]' | 2.9290   | -
'|'      | 6.1560   | -
'E'      | 6.3245   | -
'[SPACE]' | 2.9290   | -
'E'      | 6.3245   | -
's'      | 3.3995   | -
'u'      | 4.5752   | 0.0937
's'      | 3.3995   | -
