
================================================================================
СТРАНИЦА 1
================================================================================
DEBUG_CHAR: char='H', x0=85.10, y0=51.76, x1=101.97, y1=82.00, found_y=82.00
DEBUG_CHAR: char='7', x0=102.02, y0=62.50, x1=110.88, y1=82.49, found_y=82.00
DEBUG_CHAR: char=' ', x0=110.90, y0=51.76, x1=120.43, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=120.43, y0=51.76, x1=129.96, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=129.85, y0=51.76, x1=139.38, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=139.43, y0=51.76, x1=148.96, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=148.96, y0=51.76, x1=158.49, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=158.49, y0=51.76, x1=168.02, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=168.02, y0=51.76, x1=177.55, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=177.55, y0=51.76, x1=187.08, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=187.08, y0=51.76, x1=196.61, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=196.61, y0=51.76, x1=206.14, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=206.25, y0=51.76, x1=215.78, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=215.78, y0=51.76, x1=225.31, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=225.20, y0=51.76, x1=234.73, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=234.78, y0=51.76, x1=244.31, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=244.31, y0=51.76, x1=253.84, y1=82.00, found_y=82.00
DEBUG_CHAR: char=' ', x0=253.84, y0=51.76, x1=263.37, y1=82.00, found_y=82.00
DEBUG_CHAR: char='A', x0=263.45, y0=51.76, x1=279.50, y1=82.00, found_y=82.00
